smiles_open,donor_class,acceptor_class,backbone,est_lambda_nm
CN(C)/C=C/C=C/C(O)=C1C(=O)OC(C)(C)OC1=O,dialkyl_amine,meldrum,triene,545
CN(C)/C=C/C=C/C(O)=C1C(=O)N(C)C(=O)N(C)C1=O,dialkyl_amine,barbituric,triene,570
CN(C)/C=C/C=C/C(O)=C1C(=O)NC(=O)NC1=O,dialkyl_amine,barbituric,triene,570
CCN1C(=O)C(=C(O)/C=C/C=C/N(C)C)C(=O)N(CC)C1=O,dialkyl_amine,barbituric,triene,570
CN(C)/C=C/C=C/C(O)=C1C(=O)NC(=S)NC1=O,dialkyl_amine,thiobarbituric,triene,600
CN(C)/C=C/C=C/C(O)=C1C(=O)N(C)C(=S)N(C)C1=O,dialkyl_amine,thiobarbituric,triene,600
CN(C)/C=C/C=C/C(O)=C1C(=O)c2ccccc2C1=O,dialkyl_amine,indandione,triene,600
CC1=NN(c2ccccc2)C(=O)C1=C(O)/C=C/C=C/N(C)C,aniline,pyrazolone,triene,630
CN(C)/C=C/C=C/C(O)=C1C(=O)N(c2ccccc2)N=C1C(F)(F)F,aniline,pyrazolone,triene,709
CC1=NOC(=O)C1=C(O)/C=C/C=C/N(C)C,dialkyl_amine,isoxazolone,triene,626
CN(C)/C=C/C=C/C(O)=C1C(=O)ON=C1C(F)(F)F,dialkyl_amine,isoxazolone,triene,649
CN(C)/C=C/C=C/C(O)=C1C(=O)NNC1=O,dialkyl_amine,pyrazolidinedione,triene,610
CN(C)/C=C/C=C/C(O)=C1C(=O)Nc2ccccc21,aniline,oxindole,triene,640
C/C(=C\C=C\C(O)=C1C(=O)OC(C)(C)OC1=O)N(C)C,dialkyl_amine,meldrum,alpha_methyl_triene,545
C/C(=C\C=C\C(O)=C1C(=O)N(C)C(=O)N(C)C1=O)N(C)C,dialkyl_amine,barbituric,alpha_methyl_triene,570
C/C(=C\C=C\C(O)=C1C(=O)NC(=O)NC1=O)N(C)C,dialkyl_amine,barbituric,alpha_methyl_triene,570
CCN1C(=O)C(=C(O)/C=C/C=C(\C)N(C)C)C(=O)N(CC)C1=O,dialkyl_amine,barbituric,alpha_methyl_triene,570
C/C(=C\C=C\C(O)=C1C(=O)NC(=S)NC1=O)N(C)C,dialkyl_amine,thiobarbituric,alpha_methyl_triene,600
C/C(=C\C=C\C(O)=C1C(=O)N(C)C(=S)N(C)C1=O)N(C)C,dialkyl_amine,thiobarbituric,alpha_methyl_triene,600
C/C(=C\C=C\C(O)=C1C(=O)c2ccccc2C1=O)N(C)C,dialkyl_amine,indandione,alpha_methyl_triene,600
CC1=NN(c2ccccc2)C(=O)C1=C(O)/C=C/C=C(\C)N(C)C,aniline,pyrazolone,alpha_methyl_triene,630
C/C(=C\C=C\C(O)=C1C(=O)N(c2ccccc2)N=C1C(F)(F)F)N(C)C,aniline,pyrazolone,alpha_methyl_triene,709
CC1=NOC(=O)C1=C(O)/C=C/C=C(\C)N(C)C,dialkyl_amine,isoxazolone,alpha_methyl_triene,626
