smiles,lambda_max
CCN(CC)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c(OC)c1,545.0
Cc1c(N=Nc2ccc(Br)cc2)c(O)[nH]c(=O)c1C(N)=O,420.0
Cc1cc(N(C)C)ccc1/N=N/c1cc([N+](=O)[O-])ccc1C,425.0
Cc1cc(NCCC#N)ccc1N=Nc1ccc([N+](=O)[O-])cc1,451.0
Cc1noc(C)c1/N=N/c1ccccc1[N+](=O)[O-],318.0
CCN(CCC#N)c1ccc(N=Nc2ccccc2Cl)cc1,412.0
Cc1n[nH]c(C)c1N=Nc1cccc(F)c1,334.0
Oc1ccc(N=Nc2ccc(Cl)cc2)cc1,356.0
Cc1noc(C)c1N=Nc1ccccc1,315.0
O=[N+]([O-])c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1,335.0
CN(C)c1ccc(N=Nc2cc(C(F)(F)F)ccc2C(F)(F)F)cc1,450.0
Cc1noc(C)c1/N=N/c1ccc([N+](=O)[O-])cc1,332.0
CCN(CC)c1cc(NC(C)=O)c(N=Nc2cc(C(=O)OC)c([N+](=O)[O-])cc2C(=O)OC)cc1OC,537.0
Cc1ccc(/N=N/c2ccc(N(CCO)CCC#N)cc2C)cc1,402.0
N#Cc1ccc(N=Nc2ccc(O)c3ncccc23)cc1,413.0
Cc1n[nH]c(C)c1N=Nc1cccc([N+](=O)[O-])c1,332.0
Cc1noc(C)c1/N=N/c1c(F)cccc1F,309.0
Fc1ccccc1N=Nc1nccs1,369.0
Cc1c(N=Nc2ccc([N+](=O)[O-])cc2C(F)(F)F)sc(NCCOS(C)(=O)=O)c1C#N,602.0
CSc1nnc(N=Nc2c(-c3ccccc3)n(C)c3ccccc23)s1,459.0
Cc1cccc(/N=N/c2ccccc2)c1,322.0
COC(=O)c1ccc(/N=N/c2ccccc2)cc1,328.0
COc1ccc(N=Nc2c(C)n[nH]c2C)cc1,342.0
Cn1c(/N=N/c2nc3ccccc3n2C)nc2ccccc21,439.0
FC(F)(F)c1ccc(N=Nc2ccccc2)cc1,315.0
CC(C)(C)c1ccc(O)c(N=Nc2nc(-c3ccc([N+](=O)[O-])cc3)cs2)c1,428.0
c1ccc(N=Nc2ccc(Nc3ccccc3)cc2)cc1,411.0
CN(C)c1ccc(N=Nc2ccc(F)cc2)cc1,407.0
COC1CCC(C2C(/N=N/c3nc4ccc([N+](=O)[O-])cc4s3)SC(N)C2C#N)CC1,550.0
N#Cc1cccc(/N=N/c2cccs2)c1,362.0
O=[N+]([O-])c1ccc(N=Nc2cc[nH]n2)cc1,340.0
Fc1cccc(F)c1/N=N/c1c(F)cccc1F,305.0
Cc1ccccc1N=Nc1ccccc1,323.0
N#CCCNc1ccc(/N=N/c2ccc(C(F)(F)F)cc2)cc1,411.0
CCN(C)c1ccc(N=Nc2cccc(C(F)(F)F)c2)cc1,426.0
Cc1ccc(N=Nc2ccc(N(CCCl)CCCl)cc2)cc1,407.0
COCCCNc1c(N=Nc2ccc([N+](=O)[O-])cc2)c(C)c(C#N)c(=O)n1CCCOC(C)C,462.0
Cc1noc(C)c1N=Nc1ccc(F)cc1F,324.0
CN(C)c1ccc(N=Nc2ccccc2C#N)cc1,449.0
CCOC(=O)c1c(N2CC2)sc(N=Nc2ccc([N+](=O)[O-])cc2)c1-c1ccccc1,502.0
Cc1[nH]c2ccccc2c1N=Nc1n[nH]c(S)n1,392.0
CCc1nnc(N=Nc2c(-c3ccccc3)n(C)c3ccccc23)s1,438.0
N#CCCN(CCC#N)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1,432.0
Cc1cc(N(CCO)CCC#N)ccc1/N=N/c1cccc([N+](=O)[O-])c1,424.0
Brc1ccc(N=Nc2cc3c4c(c2)CCCN4CCC3)cc1,464.0
N#CCCNc1ccc(N=Nc2ccc([N+](=O)[O-])cc2)cc1,455.0
Oc1ccc(N=Nc2cccc(Cl)c2)cc1,357.0
Cc1ccc(/N=N/c2ccc(C)cc2)cc1,326.0
O=[N+]([O-])c1ccc(N=Nc2ccc(Nc3ccccc3)cc2)cc1,483.0
O=[N+]([O-])c1ccc(/N=N/c2ccc(O)c3ncccc23)cc1,414.0
N#Cc1cc([N+](=O)[O-])ccc1N=Nc1sc(NCCBr)cc1-c1ccccc1,564.0
COCCCNc1nc(NCCCOC)c(N=Nc2ccccc2C(=O)O)c(C)c1C#N,431.0
COc1cc(NC(C)=O)ccc1/N=N/c1ccc(NC(C)=O)cc1OC,338.0
Cc1cccc(N=Nc2ccc(NCCC#N)cc2C)c1,400.0
c1ccc(N=Nc2nc3ccccc3s2)cc1,328.0
CC(=O)Nc1ccccc1N=Nc1nc2ccccc2s1,331.0
CS(=O)(=O)OCCNc1sc(N=Nc2ccc([N+](=O)[O-])cc2C#N)cc1C#N,592.0
Cc1noc(C)c1/N=N/c1ccc(I)cc1,330.0
CCN(CC(O)CO)c1ccc(N=Nc2ccc(C(C)=O)cc2)c(C)c1,457.0
Cn1c(-c2ccccc2)c(N=Nc2nncs2)c2ccccc21,431.0
COc1ccc(/N=N/c2ccccc2)s1,394.0
CCN(CC)c1ccc(/N=N/c2c(Cl)cc([N+](=O)[O-])cc2C#N)cc1OC,573.0
Cc1cc(N(CCO)CCO)ccc1N=Nc1ccc(Cl)cc1C(F)(F)F,447.0
CN(C)c1ccc(N=Nc2cccc(C(F)(F)F)c2)cc1,423.0
N#Cc1ccc(N=Nc2cccs2)cc1,371.0
Cc1cc(N(CCC#N)CCC#N)ccc1N=Nc1ccc([N+](=O)[O-])cc1,441.0
