smiles,inchikey,lam_E_pipi,t12_s,logt12,source
Cn1nnc(N=Nc2ccccc2)n1,IABQAYISANLSNB-UHFFFAOYSA-N,310.0,3300700.859809263,6.518606166311219,photoswitches_csv
Cn1cnc(N=Nc2ccccc2)n1,LZNZBRVKZZWNLD-UHFFFAOYSA-N,310.0,1824071.5277893296,6.2610418644283286,photoswitches_csv
Cn1ccc(N=Nc2ccccc2)n1,HOZDTXOQNOROEJ-UHFFFAOYSA-N,320.0,6301338.005090412,6.799432775886913,photoswitches_csv
Cc1cn(C)nc1N=Nc1ccccc1,FIADAMNCJCPCND-UHFFFAOYSA-N,325.0,462098.12037329684,5.664734201989457,photoswitches_csv
Cn1cc(N=Nc2ccccc2)cn1,GZZDENQMAKNSOC-UHFFFAOYSA-N,328.0,91203576.38946648,7.960011868764347,photoswitches_csv
Cc1nn(C)c(C)c1N=Nc1ccccc1,DKJGFWFFQRMEBZ-UHFFFAOYSA-N,335.0,900191.1435843445,5.954334735872656,photoswitches_csv
Cn1nccc1N=Nc1ccccc1,WBXBKLPEWIIWHK-UHFFFAOYSA-N,341.0,936685.3791350612,5.971593741314162,photoswitches_csv
Cc1cnn(C)c1N=Nc1ccccc1,WRANWCACSODHGM-UHFFFAOYSA-N,340.0,43321.69878499658,4.636705478389214,photoswitches_csv
Cc1cc(/N=N/c2ccccc2)c(C)n1C,ZOQCNRPXMNAYFF-CCEZHUSRSA-N,363.0,315066.9002545206,5.498402780222932,photoswitches_csv
Cn1cccc1/N=N/c1ccccc1,TYYGNSUBSYLTHH-OUKQBFOZSA-N,385.0,10663.80277784531,4.027912104402283,photoswitches_csv
Cn1ccnc1/N=N/c1ccccc1,FLAQUJIURZWQSH-OUKQBFOZSA-N,363.0,31506.69002545206,4.498402780222932,photoswitches_csv
Cn1cnc(/N=N/c2ccccc2)c1,SVBOJUFXLRLJAC-OUKQBFOZSA-N,336.0,210044.60016968037,5.322311521167251,photoswitches_csv
Cn1cncc1/N=N/c1ccccc1,WVCNDLFWOJVXGP-OUKQBFOZSA-N,362.0,577622.6504666212,5.761644214997514,photoswitches_csv
Nc1ccc(N=Nc2cc[nH]n2)cc1,BWGOXBHIEJNXIQ-UHFFFAOYSA-N,391.0,,,photoswitches_csv
COc1ccc(N=Nc2cc[nH]n2)cc1,BYUWEDOHNCZJMI-UHFFFAOYSA-N,344.0,,,photoswitches_csv
Cc1ccc(N=Nc2cc[nH]n2)cc1,LTCRXBXPKPEHQX-UHFFFAOYSA-N,332.0,,,photoswitches_csv
c1cc(/N=N/c2ccn[nH]2)[nH]n1,XNQLMPZKLZSICC-VAWYXSNFSA-N,320.0,,,photoswitches_csv
c1ccc(N=Nc2cc[nH]n2)cc1,MRHYLMAOFZDURC-UHFFFAOYSA-N,324.0,,,photoswitches_csv
Brc1ccc(N=Nc2cc[nH]n2)cc1,GHOGBMITEKGTEG-UHFFFAOYSA-N,331.0,,,photoswitches_csv
Fc1ccccc1N=Nc1cc[nH]n1,VDAIBFGXWBDZQE-UHFFFAOYSA-N,328.0,,,photoswitches_csv
O=C(O)c1ccc(N=Nc2cc[nH]n2)cc1,CRIXOWGAXLGDKQ-UHFFFAOYSA-N,328.0,,,photoswitches_csv
CCOC(=O)c1ccc(/N=N/c2cc[nH]n2)cc1,ANDRYPNVLQUBSU-JQIJEIRASA-N,331.0,,,photoswitches_csv
CC(=O)c1ccc(N=Nc2cc[nH]n2)cc1,VUPCTRWGJXYJSI-UHFFFAOYSA-N,322.0,,,photoswitches_csv
O=[N+]([O-])c1ccc(N=Nc2cc[nH]n2)cc1,SMUSYMZMHFKLBR-UHFFFAOYSA-N,340.0,,,photoswitches_csv
Cn1cc(/N=N/c2c(F)cccc2F)cn1,ZMIJWCIBRKTKNH-CCEZHUSRSA-N,316.0,1444056626.1665528,9.159584223669551,photoswitches_csv
Cc1nn(C)c(C)c1/N=N/c1c(F)cccc1F,XJLPMJRJBZCHIQ-FOCLMDBBSA-N,328.0,8841163.01734624,6.9465093983607,photoswitches_csv
Cc1nn(C)c(C)c1/N=N/c1c(Cl)cccc1Cl,NXKXTUQGAHYHQU-FOCLMDBBSA-N,328.0,99733.40727481227,4.998840656455024,photoswitches_csv
COc1cccc(OC)c1/N=N/c1c(C)nn(C)c1C,ZNDHQLSUSGXLHP-FOCLMDBBSA-N,307.0,9600376.462049104,6.9822882634755,photoswitches_csv
Fc1ccccc1/N=N/c1ccccc1F,PMTXNUQIRPNAHA-FOCLMDBBSA-N,325.0,39600.03773830363,4.597695599802512,photoswitches_csv
Fc1cccc(F)c1/N=N/c1ccccc1,FNYUQQKAQPFIIJ-FOCLMDBBSA-N,309.0,89999.94553886513,4.954242246637352,photoswitches_csv
Fc1cccc(F)c1/N=N/c1c(F)cccc1F,GXJTVZCEUFPUFI-ISLYRVAYSA-N,305.0,331199.95095647493,5.52009026380326,photoswitches_csv
Fc1cc(F)c(/N=N/c2c(F)cc(F)cc2F)c(F)c1,HMLFKPVOBDCWOV-FMQUCBEESA-N,309.0,72202.83130832764,4.85855422800557,photoswitches_csv
Fc1cc(F)c(F)c(/N=N/c2c(F)c(F)cc(F)c2F)c1F,HQSLIVCCMCKVMW-QURGRASLSA-N,303.0,97200.05224409357,4.987666498355446,photoswitches_csv
Fc1c(F)c(F)c(/N=N/c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,JLMLUOQMPDZUFW-WCWDXBQESA-N,310.0,16906.028794145008,4.228041604325403,photoswitches_csv
CCOC(=O)c1ccc(/N=N/c2c(F)cccc2F)cc1,LUXXJPPWUQLTRT-VHEBQXMUSA-N,316.0,75600.02885496769,4.878521961262461,photoswitches_csv
CCOC(=O)c1cc(F)c(/N=N/c2c(F)cc(C(=O)OCC)cc2F)c(F)c1,MTFFFSUIRIUNCP-WCWDXBQESA-N,314.0,53999.995369291304,4.732393722580537,photoswitches_csv
CCOC(=O)c1cc(F)c(/N=N/c2c(F)cccc2F)c(F)c1,QKIVZCPJLUOMQU-QZQOTICOSA-N,310.0,107999.99073858261,5.033423718244518,photoswitches_csv
CCOC(=O)c1ccc(/N=N/c2c(F)cc(C(=O)OCC)cc2F)cc1,ZGSSULSAXFRGCK-QURGRASLSA-N,320.0,28800.012488156077,4.459392676076456,photoswitches_csv
CCOC(=O)c1cc(F)c(/N=N/c2ccccc2)c(F)c1,GBROTAFOQOAPTF-VHEBQXMUSA-N,316.0,25200.00045662831,4.401400548651035,photoswitches_csv
COc1cc(NC(C)=O)ccc1/N=N/c1ccc(NC(C)=O)cc1OC,NPTOORIORJTZFV-QURGRASLSA-N,338.0,6840.000479197978,3.835056132145998,photoswitches_csv
