SMILES,SMILES_state,NLL
CC(=CC=CC(O)=C1C(=O)NNC1=O)N(C)CCCN=[N+]=[N-],1,7.65
CC(C=CN(C)CCCN=[N+]=[N-])=CC(O)=C1C(=O)NC(=O)NC1=O,1,12.47
CC(C=CN(C)C)=CC(O)=C1C(=O)NNC1=O,1,9.04
CCCCN(CCCC)C(C)=CC=CC(O)=C1C(=O)NC(=S)NC1=O,1,8.94
CCN(C=CC(C)=CC(O)=C1C(=O)N(C)C(=O)N(C)C1=O)c1ccccc1,1,8.37
CN1CCN(C=CC=CC(O)=C2C(=O)NNC2=O)CC1,1,8.61
CC(C=CN1CCN(C)CC1)=CC(O)=C1C(=O)N(C)C(=S)N(C)C1=O,1,10.53
CC(C=CN(C)C)=CC(O)=C1C(=O)NC(=S)NC1=O,1,7.1
CC(C=CN1CCSCC1)=CC(O)=C1C(=O)NC(=O)NC1=O,1,9.32
CC(C=CN(C)c1ccccc1)=CC(O)=C1C(=O)ON=C1C,1,11.47
CCCN(C=CC=CC(O)=C1C(=O)N(C)C(=O)N(C)C1=O)CCC,1,7.68
CCCN1C(=O)C(=CC=CC(O)=C2C(=O)N(CC)C(=O)N(CC)C2=O)C(C(=O)OC)=C1C,1,20.48
CC(C=NO)=CC=CN1CCCc2ccccc21,1,18.48
CC1=C(C=CC2=CC(C)(C)NC(=O)C(C)N2)C(C)(C)CCC1,1,25.94
CCN(C=CC=CC(O)=C1C(=O)N(C)C(=O)N(C)C1=O)CC,1,7.02
CC(C=CN1CCc2ccccc2C1)=CC(O)=C1C(=O)NNC1=O,1,13.46
CC(=CC=CC(O)=C1C(=O)Nc2ccccc2C1=O)N1CCCC1,1,15.1
CC(C=CN(C)C)=CC(O)=C1C(=O)NC(=O)NC1=O,1,11.12
CCCN1C(=O)C(=C(O)C=CC=CN(CC)c2ccccc2)C(=O)N(CC)C1=O,1,14.37
CCCN(C=CC(C)=CC(O)=C1C(=O)NC(=S)NC1=O)CCC,1,8.88
CC1(C)OC(=O)C(=C(O)C=CC=CN2CCCc3ccccc32)C(=O)O1,1,11.76
CCN(C=CC(C)=CC(O)=C1C(=O)ON=C1C)CC,1,11.17
CC(=CC=CC(O)=C1C(=O)ON=C1C(F)(F)F)N1CCCCC1,1,9.25
CC(C)CN(C(=O)CCl)C1CC1,1,24.09
CCOC(O)=C1C(=O)N(c2ccccc2)N=C1C,1,12.1
CC(=O)Oc1ccc2cc(C(=O)c3ccccc3)ccc2c1,1,24.74
CC(C=CN1CCCCC1)=CC=CC(O)=C1C(=O)N(c2ccccc2)N=C1C(F)(F)F,1,13.07
